日期 ,时间 ,维度 ,经度 ,海拔 ,速度 ,卫星数量 ,方向
2017年10月05日,9小时34分40秒,N 40.47.627度,E 111.41.733度,1058m,1.1112km/s,10,337.5度
2017年10月05日,9小时34分41秒,N 40.47.627度,E 111.41.733度,1057m,1.1112km/s,10,349.7度
2017年10月05日,9小时34分42秒,N 40.47.627度,E 111.41.733度,1057m,1.6668km/s,10,348.5度
2017年10月05日,9小时34分43秒,N 40.47.627度,E 111.41.733度,1057m,1.6668km/s,10,347.2度
2017年10月05日,9小时34分44秒,N 40.47.628度,E 111.41.732度,1058m,2.0372km/s,10,348.9度
2017年10月05日,9小时34分45秒,N 40.47.628度,E 111.41.732度,1057m,2.7780km/s,10,340.0度
2017年10月05日,9小时34分46秒,N 40.47.628度,E 111.41.732度,1057m,3.5188km/s,10,341.0度
2017年10月05日,9小时34分47秒,N 40.47.629度,E 111.41.731度,1057m,4.6300km/s,9,341.4度
2017年10月05日,9小时34分48秒,N 40.47.630度,E 111.41.731度,1057m,7.5932km/s,9,339.1度
2017年10月05日,9小时34分49秒,N 40.47.631度,E 111.41.729度,1057m,9.4452km/s,9,337.8度
2017年10月05日,9小时34分50秒,N 40.47.633度,E 111.41.729度,1057m,12.9640km/s,9,337.0度
2017年10月05日,9小时34分51秒,N 40.47.635度,E 111.41.727度,1058m,13.7048km/s,9,336.4度
2017年10月05日,9小时34分52秒,N 40.47.637度,E 111.41.726度,1058m,16.2976km/s,9,335.9度
2017年10月05日,9小时34分53秒,N 40.47.640度,E 111.41.724度,1058m,17.9644km/s,9,335.1度
2017年10月05日,9小时34分54秒,N 40.47.642度,E 111.41.722度,1058m,16.8532km/s,9,334.8度
2017年10月05日,9小时34分55秒,N 40.47.645度,E 111.41.721度,1058m,15.5568km/s,9,335.7度
2017年10月05日,9小时34分56秒,N 40.47.647度,E 111.41.720度,1058m,17.2236km/s,9,337.2度
