日期 ,时间 ,维度 ,经度 ,海拔 ,速度 ,卫星数量 ,方向
2017年10月05日,9小时41分8秒,N 40.48.213度,E 111.41.449度,1055m,8.1488km/s,10,226.4度
2017年10月05日,9小时41分9秒,N 40.48.213度,E 111.41.447度,1055m,8.5192km/s,10,228.9度
2017年10月05日,9小时41分10秒,N 40.48.212度,E 111.41.445度,1054m,7.9636km/s,10,256.4度
2017年10月05日,9小时41分11秒,N 40.48.212度,E 111.41.444度,1054m,7.7784km/s,10,255.0度
2017年10月05日,9小时41分12秒,N 40.48.211度,E 111.41.442度,1054m,5.5560km/s,10,254.4度
2017年10月05日,9小时41分13秒,N 40.48.211度,E 111.41.442度,1053m,0.1852km/s,10,254.4度
2017年10月05日,9小时41分15秒,N 40.48.211度,E 111.41.441度,1054m,0.0000km/s,10,254.4度
2017年10月05日,9小时41分15秒,N 40.48.211度,E 111.41.441度,1054m,0.0000km/s,10,254.4度
2017年10月05日,9小时41分16秒,N 40.48.211度,E 111.41.441度,1054m,0.0000km/s,10,254.3度
2017年10月05日,9小时41分17秒,N 40.48.211度,E 111.41.441度,1054m,0.0000km/s,10,254.4度
2017年10月05日,9小时41分18秒,N 40.48.211度,E 111.41.441度,1054m,0.0000km/s,10,254.4度
2017年10月05日,9小时41分19秒,N 40.48.211度,E 111.41.441度,1054m,0.1852km/s,10,254.4度
2017年10月05日,9小时41分20秒,N 40.48.210度,E 111.41.440度,1054m,0.5556km/s,10,254.4度
2017年10月05日,9小时41分21秒,N 40.48.211度,E 111.41.438度,1054m,14.8160km/s,10,281.9度
2017年10月05日,9小时41分23秒,N 40.48.212度,E 111.41.430度,1053m,19.6312km/s,10,281.8度
2017年10月05日,9小时41分24秒,N 40.48.212度,E 111.41.425度,1053m,19.0756km/s,9,271.1度
2017年10月05日,9小时41分24秒,N 40.48.212度,E 111.41.425度,1053m,19.0756km/s,10,271.1度
2017年10月05日,9小时41分25秒,N 40.48.212度,E 111.41.421度,1053m,19.0756km/s,10,256.0度
2017年10月05日,9小时41分26秒,N 40.48.211度,E 111.41.417度,1053m,17.9644km/s,10,243.6度
2017年10月05日,9小时41分27秒,N 40.48.210度,E 111.41.414度,1052m,16.4828km/s,10,232.4度
2017年10月05日,9小时41分28秒,N 40.48.208度,E 111.41.412度,1052m,13.8900km/s,10,222.3度
2017年10月05日,9小时41分29秒,N 40.48.207度,E 111.41.410度,1052m,12.4084km/s,10,210.5度
2017年10月05日,9小时41分30秒,N 40.48.205度,E 111.41.409度,1053m,11.6676km/s,10,196.5度
2017年10月05日,9小时41分31秒,N 40.48.203度,E 111.41.408度,1053m,10.3712km/s,10,176.7度
2017年10月05日,9小时41分32秒,N 40.48.201度,E 111.41.409度,1052m,11.4824km/s,10,170.5度
2017年10月05日,9小时41分33秒,N 40.48.199度,E 111.41.409度,1052m,14.4456km/s,10,168.3度
2017年10月05日,9小时41分34秒,N 40.48.197度,E 111.41.410度,1052m,16.8532km/s,10,168.0度
2017年10月05日,9小时41分35秒,N 40.48.195度,E 111.41.411度,1051m,19.4460km/s,10,167.2度
2017年10月05日,9小时41分36秒,N 40.48.192度,E 111.41.412度,1051m,20.0016km/s,10,164.9度
2017年10月05日,9小时41分37秒,N 40.48.189度,E 111.41.413度,1051m,19.6312km/s,10,162.1度
2017年10月05日,9小时41分38秒,N 40.48.186度,E 111.41.414度,1051m,19.4460km/s,10,163.2度
2017年10月05日,9小时41分40秒,N 40.48.180度,E 111.41.417度,1051m,21.8536km/s,10,161.8度
2017年10月05日,9小时41分40秒,N 40.48.180度,E 111.41.417度,1050m,21.8536km/s,10,161.8度
2017年10月05日,9小时41分41秒,N 40.48.177度,E 111.41.418度,1050m,22.2240km/s,10,160.1度
2017年10月05日,9小时41分42秒,N 40.48.173度,E 111.41.420度,1049m,23.3352km/s,10,158.8度
2017年10月05日,9小时41分44秒,N 40.48.166度,E 111.41.423度,1049m,24.2612km/s,10,158.5度
2017年10月05日,9小时41分44秒,N 40.48.166度,E 111.41.423度,1049m,24.2612km/s,10,158.5度
2017年10月05日,9小时41分45秒,N 40.48.163度,E 111.41.425度,1048m,24.2612km/s,10,158.6度
2017年10月05日,9小时41分47秒,N 40.48.156度,E 111.41.427度,1048m,22.7796km/s,10,166.9度
2017年10月05日,9小时41分48秒,N 40.48.152度,E 111.41.429度,1047m,24.4464km/s,10,163.4度
2017年10月05日,9小时41分48秒,N 40.48.152度,E 111.41.429度,1047m,24.4464km/s,10,163.4度
2017年10月05日,9小时41分49秒,N 40.48.149度,E 111.41.430度,1046m,24.8168km/s,10,162.8度
2017年10月05日,9小时41分50秒,N 40.48.145度,E 111.41.432度,1046m,24.8168km/s,10,162.1度
2017年10月05日,9小时41分51秒,N 40.48.142度,E 111.41.433度,1046m,26.2984km/s,10,160.9度
2017年10月05日,9小时41分52秒,N 40.48.138度,E 111.41.435度,1046m,26.8540km/s,10,160.1度
2017年10月05日,9小时41分53秒,N 40.48.134度,E 111.41.437度,1045m,25.0020km/s,10,160.2度
2017年10月05日,9小时41分54秒,N 40.48.130度,E 111.41.438度,1045m,24.0760km/s,10,167.0度
2017年10月05日,9小时41分55秒,N 40.48.126度,E 111.41.440度,1045m,22.4092km/s,10,166.2度
2017年10月05日,9小时41分56秒,N 40.48.123度,E 111.41.442度,1045m,22.9648km/s,10,164.3度
2017年10月05日,9小时41分57秒,N 40.48.120度,E 111.41.443度,1044m,22.5944km/s,10,164.9度
2017年10月05日,9小时41分58秒,N 40.48.117度,E 111.41.444度,1044m,21.1128km/s,10,163.9度
2017年10月05日,9小时41分59秒,N 40.48.114度,E 111.41.446度,1044m,21.1128km/s,10,162.8度
2017年10月05日,9小时42分0秒,N 40.48.111度,E 111.41.447度,1043m,21.1128km/s,10,162.7度
2017年10月05日,9小时42分1秒,N 40.48.108度,E 111.41.448度,1043m,21.1128km/s,10,162.0度
2017年10月05日,9小时42分2秒,N 40.48.105度,E 111.41.450度,1043m,21.8536km/s,10,161.3度
2017年10月05日,9小时42分3秒,N 40.48.102度,E 111.41.451度,1042m,21.8536km/s,9,160.7度
2017年10月05日,9小时42分4秒,N 40.48.098度,E 111.41.452度,1042m,20.9276km/s,10,161.0度
2017年10月05日,9小时42分5秒,N 40.48.096度,E 111.41.453度,1042m,18.8904km/s,10,171.4度
2017年10月05日,9小时42分6秒,N 40.48.093度,E 111.41.453度,1042m,17.4088km/s,10,187.2度
2017年10月05日,9小时42分7秒,N 40.48.091度,E 111.41.452度,1041m,16.6680km/s,10,199.6度
2017年10月05日,9小时42分8秒,N 40.48.088度,E 111.41.451度,1041m,15.9272km/s,10,215.7度
2017年10月05日,9小时42分9秒,N 40.48.087度,E 111.41.449度,1041m,14.4456km/s,10,229.1度
2017年10月05日,9小时42分10秒,N 40.48.086度,E 111.41.446度,1041m,16.4828km/s,10,243.3度
2017年10月05日,9小时42分11秒,N 40.48.085度,E 111.41.443度,1042m,17.5940km/s,10,245.2度
2017年10月05日,9小时42分13秒,N 40.48.083度,E 111.41.436度,1042m,15.1864km/s,10,253.7度
2017年10月05日,9小时42分14秒,N 40.48.082度,E 111.41.433度,1042m,15.0012km/s,10,252.7度
2017年10月05日,9小时42分14秒,N 40.48.082度,E 111.41.433度,1041m,15.0012km/s,10,252.7度
2017年10月05日,9小时42分15秒,N 40.48.081度,E 111.41.431度,1041m,14.2604km/s,10,252.0度
2017年10月05日,9小时42分16秒,N 40.48.081度,E 111.41.428度,1041m,14.0752km/s,10,248.9度
2017年10月05日,9小时42分18秒,N 40.48.079度,E 111.41.423度,1041m,13.3344km/s,10,250.0度
2017年10月05日,9小时42分18秒,N 40.48.079度,E 111.41.423度,1041m,13.3344km/s,10,250.0度
2017年10月05日,9小时42分20秒,N 40.48.078度,E 111.41.419度,1041m,10.9268km/s,10,251.7度
2017年10月05日,9小时42分20秒,N 40.48.078度,E 111.41.419度,1042m,10.9268km/s,10,251.7度
2017年10月05日,9小时42分21秒,N 40.48.077度,E 111.41.417度,1042m,7.2228km/s,10,251.9度
2017年10月05日,9小时42分23秒,N 40.48.076度,E 111.41.414度,1042m,7.4080km/s,10,258.6度
2017年10月05日,9小时42分23秒,N 40.48.076度,E 111.41.414度,1042m,7.4080km/s,10,258.6度
2017年10月05日,9小时42分24秒,N 40.48.076度,E 111.41.413度,1042m,6.8524km/s,10,256.9度
2017年10月05日,9小时42分26秒,N 40.48.075度,E 111.41.411度,1042m,5.7412km/s,10,253.5度
2017年10月05日,9小时42分26秒,N 40.48.075度,E 111.41.411度,1043m,5.7412km/s,10,253.5度
2017年10月05日,9小时42分28秒,N 40.48.075度,E 111.41.408度,1043m,7.2228km/s,10,249.8度
2017年10月05日,9小时42分28秒,N 40.48.075度,E 111.41.408度,1044m,7.2228km/s,10,249.8度
2017年10月05日,9小时42分30秒,N 40.48.074度,E 111.41.404度,1044m,7.2228km/s,10,250.6度
2017年10月05日,9小时42分31秒,N 40.48.074度,E 111.41.402度,1044m,6.1116km/s,10,252.0度
2017年10月05日,9小时42分32秒,N 40.48.075度,E 111.41.401度,1045m,6.1116km/s,10,255.6度
2017年10月05日,9小时42分32秒,N 40.48.075度,E 111.41.401度,1045m,6.1116km/s,10,255.6度
2017年10月05日,9小时42分33秒,N 40.48.076度,E 111.41.400度,1046m,7.9636km/s,10,260.9度
2017年10月05日,9小时42分35秒,N 40.48.078度,E 111.41.400度,1046m,5.0004km/s,10,354.6度
2017年10月05日,9小时42分35秒,N 40.48.078度,E 111.41.400度,1047m,5.0004km/s,10,354.6度
2017年10月05日,9小时42分37秒,N 40.48.079度,E 111.41.401度,1047m,5.0004km/s,10,354.6度
2017年10月05日,9小时42分37秒,N 40.48.079度,E 111.41.401度,1047m,5.0004km/s,10,354.6度
2017年10月05日,9小时42分39秒,N 40.48.080度,E 111.41.402度,1048m,4.6300km/s,10,354.6度
2017年10月05日,9小时42分39秒,N 40.48.080度,E 111.41.402度,1048m,4.6300km/s,10,354.6度
2017年10月05日,9小时42分40秒,N 40.48.080度,E 111.41.403度,1048m,3.1484km/s,10,354.6度
2017年10月05日,9小时42分41秒,N 40.48.080度,E 111.41.403度,1049m,3.1484km/s,10,354.6度
2017年10月05日,9小时42分42秒,N 40.48.080度,E 111.41.404度,1049m,2.9632km/s,10,354.6度
2017年10月05日,9小时42分44秒,N 40.48.080度,E 111.41.405度,1049m,2.5928km/s,10,354.6度
2017年10月05日,9小时42分44秒,N 40.48.080度,E 111.41.405度,1049m,2.5928km/s,10,354.6度
2017年10月05日,9小时42分45秒,N 40.48.081度,E 111.41.405度,1049m,2.7780km/s,10,354.6度
2017年10月05日,9小时42分47秒,N 40.48.081度,E 111.41.407度,1049m,2.2224km/s,10,354.6度
2017年10月05日,9小时42分47秒,N 40.48.081度,E 111.41.407度,1049m,2.2224km/s,10,354.6度
2017年10月05日,9小时42分49秒,N 40.48.081度,E 111.41.407度,1050m,0.7408km/s,10,354.6度
2017年10月05日,9小时42分50秒,N 40.48.081度,E 111.41.407度,1050m,0.0000km/s,10,354.6度
2017年10月05日,9小时42分50秒,N 40.48.081度,E 111.41.407度,1050m,0.0000km/s,10,354.6度
2017年10月05日,9小时42分52秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,10,354.6度
2017年10月05日,9小时42分53秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,10,354.6度
2017年10月05日,9小时42分53秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,10,354.6度
2017年10月05日,9小时42分55秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,10,354.6度
2017年10月05日,9小时42分56秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,10,354.6度
2017年10月05日,9小时42分56秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,10,354.6度
2017年10月05日,9小时42分58秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,10,354.6度
2017年10月05日,9小时42分58秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,10,354.6度
2017年10月05日,9小时43分0秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,9,354.6度
2017年10月05日,9小时43分0秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,9,354.6度
2017年10月05日,9小时43分2秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,9,354.6度
2017年10月05日,9小时43分3秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,9,354.6度
2017年10月05日,9小时43分3秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,9,354.6度
2017年10月05日,9小时43分5秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,9,354.6度
2017年10月05日,9小时43分5秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,9,354.6度
2017年10月05日,9小时43分6秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,9,354.6度
2017年10月05日,9小时43分7秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,9,354.6度
2017年10月05日,9小时43分9秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,9,354.6度
2017年10月05日,9小时43分10秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,9,354.6度
2017年10月05日,9小时43分10秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,9,354.6度
2017年10月05日,9小时43分10秒,N 40.48.081度,E 111.41.408度,1050m,0.0000km/s,9,354.6度
